Hawker Centres ,Postal Code,Postal Code
112 BUKIT MERAH MARKET & FOOD CENTRE  112 JALAN BUKIT MERAH, S160112  ,160112  
115 BUKIT MERAH VIEW MARKET AND HAWKER CENTRE  115 BUKIT MERAH VIEW, S151115  ,151115  
152A SERANGOON NORTH MARKET  152A SERANGOON NORTH AVE 1, S551152  ,551152  
154 SER ANGOON WET MARKET  154 SERANGOON NORTH AVE 1, S550154  ,550154  
154A BUKIT BATOK  154A BUKIT BATOK WEST AVE 8, S651154  ,651154  
156 BU KIT BATOK WET MARKET  156 BUKIT BATOK ST 11, S650156  ,650156  
22A HAVELOCK ROAD FOOD CENTRE  22A HAVELOCK RD, S161022  ,161022  
22B HAVELOCK ROAD FOOD CENTRE  22B HAVELOCK RD, S162022  ,162022  
267 WET MARKET  267 SERANGOON AVE 3, S550267  ,550267  
304 WOODLANDS WET MARKET  304 WOODLANDS ST 31, S730304  ,730304  
409 ANG MO KIO MARKET AND FOOD CENTRE  409 ANG MO KIO AVE 10, S560409  ,560409  
493 WET MARKET  493 JURONG WEST ST 41, S640493  ,640493  
497 JURONG WEST WET MARKET  497 JURONG WEST ST 41, S640497  ,640497  
504 TAMPINES WET MARKET  504 TAMPINES CENTRAL 1, S520504  ,520504  
50A MARINE TERRACE MARKET  50A MARINE TERRACE, S441050  ,441050  
51 OLD AIRPORT ROAD FOOD CENTRE  51 OLD AIRPORT RD, S390051  ,390051  
548 WOODLANDS WET MARKET  548 WOODLANDS DR 44, S730548  ,730548  
630 BEDOK RESERVOIR ROAD FOOD CENTRE  630 BEDOK RESERVOIR RD , S470630  ,470630  
681 FRESH MARKET  681 HOUGANG AVE 8, S530681  ,530681  
69 GEYLANG BAHRU MARKET AND FOOD CENTRE  69 GEYLANG BAHRU, S330069  ,330069  
724 ANG MO KIO FOOD CENTRE  724 ANG MO KIO AVE 6, S560724  ,560724  
726 WEST COAST MARKET SQUARE  726 CLEMENTI WEST ST 2, S120726  ,120726  
79 CIRCUIT ROAD FOOD CENT RE  79 CIRCUIT RD, S370079  ,370079  
79 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE  79 TELOK BLANGAH DR, S100079  ,100079  
79A CIRCUIT R OAD FOOD CENTRE  79A CIRCUIT RD, S371079  ,371079  
82 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE  82 TELOK BLANGAH DR, S100082  ,100082  
84 MARINE PARADE CENTRAL HAWKER CENTRE  84 MARINE PARADE CENTRAL, S440084  ,440084  
85 FENGSHAN CENTRE  85 BEDOK NORTH ST 4, S460085  ,460085  
861 NORTH BRIDGE ROAD MARKET AND FOOD CENTRE  861 NORTH BRIDGE RD, S198783  ,198783  
883 WOODLANDS WET MARKET  883 WOODLANDS ST 82, S730883  ,730883  
ABC BRICKWORKS FOOD CENTRE  6 JALAN BUKIT MERAH, S150006  ,150006  
ADAM FOOD CENTRE  2 ADAM RD, S289876  ,289876  
ADMIRALTY WET MARKET  678A WOODLANDS AVE 6, S731678  ,731678  
ALBERT CENTRE FOOD CENTR E  270 QUEEN ST, S180270  ,180270  
ALEXANDRA VILLAGE FOOD CENTRE  120 BUKIT MERAH LN 1, S150120  ,150120  
ALJUNIED AVENUE 2 MARKET AND FOOD CENTRE  117 ALJUNIED AVE 2, S 380117  , 380117  
AMOY STREET FOOD CENTRE  7 MAXWELL RD, S069111  ,069111  
ANG MO KIO 628 FOOD CENTRE  628 ANG MO KIO AVE 4, S560628  ,560628  
AYER RAJAH FOOD CENTRE  503 WEST COAST DR, S120503  ,120503  
AYER RAJAH MARKET  502 WEST COAST DR, S120502  ,120502  
BEDOK 538 MARKET N FOOD CENTRE  538 BEDOK NORTH ST 3, S460538  ,460538  
BEDOK FOOD CENTRE  1 BEDOK RD, S469572  ,469572  
BEDOK INTERCHANGE HAWKER CENTRE  208B NEW UPPER CHANGI RD, S462208  ,462208  
BENDEMEER FOOD CENTRE  29 BENDEMEER RD, S330029  ,330029  
BEO CRESCENT FOOD CENTRE  38A BEO CRES, S169982  ,169982  
BERSEH FOOD CENTRE  166 JALAN BESAR, S208877  ,208877  
BLK 90 WHAMPOA MAKAN PLACE  90 WHAMPOA DR, S320090  ,320090  
