Hawker Centre Stalls,Postal Code,Postal Code,Postal Code
112 BUKIT MERAH MARKET & FOOD CENTRE  ,,,
112 JALAN BUKIT MERAH, S160112  , S160112  ,160112  
112 COFFEE STALL  #01-14 ,, S160112  ,160112  
112 YONG TAU FOO  #01-34 ,, S160112  ,160112  
AH BAO MEI SHI  #01-10 ,, S160112  ,160112  
AH CHENG ROASTED MEAT  #02-08 ,, S160112  ,160112  
CHINA STREET MEI SHI  #01-12 ,, S160112  ,160112  
DOLPHIN FLORIST & TRADING  #01-23 ,, S160112  ,160112  
JIN DE YUN  #01-22 ,, S160112  ,160112  
JIT MAN PRAWN NOODLE  #01-16 ,, S160112  ,160112  
KIM KEE VEGETARIAN FOOD  #01-01 ,, S160112  ,160112  
KONG HIN GOLDSMITH  #02-17 ,, S160112  ,160112  
KWAN PORK STALL (WM)  #02-10 ,, S160112  ,160112  
LIN JI TRADITIONAL  #01-20 ,, S160112  ,160112  
LU JIANG  #01-11 ,, S160112  ,160112  
LYE HUAT COOKED FOOD  #01-21 ,, S160112  ,160112  
NG SEAFOOD 01 -42 #01-42 ,, S160112  ,160112  
NG SEAFOOD 01 -43 #01-43 ,, S160112  ,160112  
RAHUMATH FOOD  #01-19 ,, S160112  ,160112  
RAYNALD ONE VEGE (WM)  #01-32 ,, S160112  ,160112  
SEAFOOD 01 -47 #01-47 ,, S160112  ,160112  
SEAFOOD 01 -48 #01-48 ,, S160112  ,160112  
SIN HOE SENG KAT KEE (LU)  #02-27 ,, S160112  ,160112  
SOON HENG (LU)  #02-23 ,, S160112  ,160112  
SUM PORK TRADERS (WM)  #02-13 ,, S160112  ,160112  
WANG WANG FRUITS STALL  #02-05 ,, S160112  ,160112  
WARONG AZIZAH MALAY FOOD  #01-15 ,, S160112  ,160112  
YANNE DEPARTMENT STORE  #02-26 ,, S160112  ,160112  
 ,,,#VALUE!
115 BUKIT MERAH VIEW MARKET AND HAWKER CENTRE  ,,,#VALUE!
115 BUKIT MERAH VIEW, S151115  , S151115  ,151115  
323 FOOD & BEVERAGE  #01-11 ,, S151115  ,151115  
323 NASI LEMAK  #01-48 ,, S151115  ,151115  
ALHAMDULILLAH DRINKS  #01-74 ,, S151115  ,151115  
BEANCURD 01 -138 #01-138 ,, S151115  ,151115  
BT MERAH VIEW CARROT CAKE  #01-37 ,, S151115  ,151115  
BUKIT MERAH VIEW FISHBALL MINCED MEAT  #01-45 ,, S151115  ,151115  
CHAI CHUANTOU MUTTON SOUP  #01-51 ,, S151115  ,151115  
CHAR KWAY TEOW  #01-28 ,, S151115  ,151115  
CHARCOAL GRILLED  #01-09 ,, S151115  ,151115  
CHICKEN KING  #01-144 ,, S151115  ,151115  
CHICKEN RICE  #01-18 ,, S151115  ,151115  
DELII & GRILL  #01-15 ,, S151115  ,151115  
DRIED GOODS 92  #01-92 ,, S151115  ,151115  
FAHZILAAH HALAL FOOD  #01-52 ,, S151115  ,151115  
FANCY FISH  #01-123 ,, S151115  ,151115  
FENG JI XIAO CHI  #01-08 ,, S151115  ,151115  
 ,, S151115  ,151115  
 Back to Top   22 ,, S151115  ,151115  
FISH PORRIDGE  #01-14 ,, S151115  ,151115  
FRESH EGGS 01 -149 #01-149 ,, S151115  ,151115  
FROZEN GOODS  #01-166 ,, S151115  ,151115  
FROZEN POULTRY 01 -142 #01-142 ,, S151115  ,151115  
FRUIT JUICE  #01-17 ,, S151115  ,151115  
FRUITS (WM)  #01-131 ,, S151115  ,151115  
FRUITS 01 -129 #01-129 ,, S151115  ,151115  
FRUITSOMANIA  #01-17 ,, S151115  ,151115  
GU ZAO CUO BING  #01-13 ,, S151115  ,151115  
GUAN KEE  #01-27 ,, S151115  ,151115  
HAKKA LEIPOPO  #01-61 ,, S151115  ,151115  
HALNAZ FROZEN BM169 (WM)  #01-169 ,, S151115  ,151115  
HANDY FIX  #01-115 ,, S151115  ,151115  
HAPPY DUCK  #01-38 ,, S151115  ,151115  
HAPPY SNACKS CLAYPOT  #01-32 ,, S151115  ,151115  
