Hawker Centres ,Postal Code(FULL),Postal Code,Latitude,Longitude
112 BUKIT MERAH MARKET & FOOD CENTRE  112 JALAN BUKIT MERAH, S160112  ,160112,1.280003,103.826003
115 BUKIT MERAH VIEW MARKET AND HAWKER CENTRE  115 BUKIT MERAH VIEW, S151115  ,151115,1.285527,103.822038
152A SERANGOON NORTH MARKET  152A SERANGOON NORTH AVE 1, S551152  ,551152,1.369638,103.872672
154 SER ANGOON WET MARKET  154 SERANGOON NORTH AVE 1, S550154  ,550154,1.370166,103.873553
154A BUKIT BATOK  154A BUKIT BATOK WEST AVE 8, S651154  ,651154,1.347399,103.743673
156 BU KIT BATOK WET MARKET  156 BUKIT BATOK ST 11, S650156  ,650156,1.348269,103.743837
22A HAVELOCK ROAD FOOD CENTRE  22A HAVELOCK RD, S161022  ,161022,1.288067,103.829634
22B HAVELOCK ROAD FOOD CENTRE  22B HAVELOCK RD, S162022  ,162022,1.287737,103.829281
267 WET MARKET  267 SERANGOON AVE 3, S550267  ,550267,1.353246,103.870925
304 WOODLANDS WET MARKET  304 WOODLANDS ST 31, S730304  ,730304,1.429969,103.773743
409 ANG MO KIO MARKET AND FOOD CENTRE  409 ANG MO KIO AVE 10, S560409  ,560409,1.363019,103.855294
493 WET MARKET  493 JURONG WEST ST 41, S640493  ,640493,1.348998,103.724975
497 JURONG WEST WET MARKET  497 JURONG WEST ST 41, S640497  ,640497,1.349397,103.724262
504 TAMPINES WET MARKET  504 TAMPINES CENTRAL 1, S520504  ,520504,1.3563829,103.945729
50A MARINE TERRACE MARKET  50A MARINE TERRACE, S441050  ,441050,1.305719,103.915986
51 OLD AIRPORT ROAD FOOD CENTRE  51 OLD AIRPORT RD, S390051  ,390051,1.308248,103.8858939
548 WOODLANDS WET MARKET  548 WOODLANDS DR 44, S730548  ,730548,1.430554,103.79392
630 BEDOK RESERVOIR ROAD FOOD CENTRE  630 BEDOK RESERVOIR RD , S470630  ,470630,1.332925,103.91412
681 FRESH MARKET  681 HOUGANG AVE 8, S530681  ,530681,1.373235,103.886822
69 GEYLANG BAHRU MARKET AND FOOD CENTRE  69 GEYLANG BAHRU, S330069  ,330069,1.321461,103.870115
724 ANG MO KIO FOOD CENTRE  724 ANG MO KIO AVE 6, S560724  ,560724,1.372185,103.846562
726 WEST COAST MARKET SQUARE  726 CLEMENTI WEST ST 2, S120726  ,120726,1.303831,103.764132
79 CIRCUIT ROAD FOOD CENT RE  79 CIRCUIT RD, S370079  ,370079,1.326412,103.885064
79 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE  79 TELOK BLANGAH DR, S100079  ,100079,1.273301,103.807598
79A CIRCUIT R OAD FOOD CENTRE  79A CIRCUIT RD, S371079  ,371079,1.3256079,103.88493
82 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE  82 TELOK BLANGAH DR, S100082  ,100082,1.273787,103.807777
84 MARINE PARADE CENTRAL HAWKER CENTRE  84 MARINE PARADE CENTRAL, S440084  ,440084,1.302245,103.906557
85 FENGSHAN CENTRE  85 BEDOK NORTH ST 4, S460085  ,460085,1.331981,103.938751
861 NORTH BRIDGE ROAD MARKET AND FOOD CENTRE  861 NORTH BRIDGE RD, S198783  ,198783,1.305398,103.863889
883 WOODLANDS WET MARKET  883 WOODLANDS ST 82, S730883  ,730883,1.442756,103.790708
ABC BRICKWORKS FOOD CENTRE  6 JALAN BUKIT MERAH, S150006  ,150006,1.286962,103.807937
ADAM FOOD CENTRE  2 ADAM RD, S289876  ,289876,1.324088,103.814086
ADMIRALTY WET MARKET  678A WOODLANDS AVE 6, S731678  ,731678,1.440493,103.801801
ALBERT CENTRE FOOD CENTR E  270 QUEEN ST, S180270  ,180270,1.301057,103.854119
ALEXANDRA VILLAGE FOOD CENTRE  120 BUKIT MERAH LN 1, S150120  ,150120,1.286343,103.804526
ALJUNIED AVENUE 2 MARKET AND FOOD CENTRE  117 ALJUNIED AVE 2, S 380117  ,380117,1.320653,103.886925
AMOY STREET FOOD CENTRE  7 MAXWELL RD, S069111  ,069111  ,1.279376,103.846712
ANG MO KIO 628 FOOD CENTRE  628 ANG MO KIO AVE 4, S560628  ,560628,1.3809769,103.840658
AYER RAJAH FOOD CENTRE  503 WEST COAST DR, S120503  ,120503,1.31172,103.75967
AYER RAJAH MARKET  502 WEST COAST DR, S120502  ,120502,1.311718,103.759029
BEDOK 538 MARKET N FOOD CENTRE  538 BEDOK NORTH ST 3, S460538  ,460538,1.331798,103.924861
BEDOK FOOD CENTRE  1 BEDOK RD, S469572  ,469572,1.320837,103.95541
BEDOK INTERCHANGE HAWKER CENTRE  208B NEW UPPER CHANGI RD, S462208  ,462208,1.3255189,103.930937
BENDEMEER FOOD CENTRE  29 BENDEMEER RD, S330029  ,330029,1.319142,103.863322
BEO CRESCENT FOOD CENTRE  38A BEO CRES, S169982  ,169982,1.288766,103.827528
BERSEH FOOD CENTRE  166 JALAN BESAR, S208877  ,208877,1.307428,103.856771
BLK 90 WHAMPOA MAKAN PLACE  90 WHAMPOA DR, S320090  ,320090,1.32294,103.855159
BLK 91 WHAMPOA MAKAN PLACE  91 WHAMPOA DR, S320091  ,320091,1.323415,103.854085
BLK 92 WHAMPOA MAKAN PLACE  92 WHAMPOA DR, S32009 2 ,32009 2 ,1.323415,103.854085
BLOCK 511 MARKET AND FOOD CENTRE  511 BEDOK NORTH ST 3, S460511  ,460511,1.333244,103.930561
BOON LAY PLACE FOOD VILLAGE  221B BOON LAY PLACE, S642221  ,642221,1.345686,103.713082
BOON LAY PLACE MARKET  221A BOON LAY PLACE, S641221  ,641221,1.34522,103.712825
BUANGKOK HAWKER CENTRE  70 COMPASSVALE BOW,  S544692  ,S544692  ,,
BUKIT CANBERRA HAWKER CENTRE  21 CANBERRA LINK, S752350  ,752350,1.45,103.820666
BUKIT MERAH CENTRAL FOOD CE NTRE  163 BUKIT MERAH CENTRAL, S150163  ,150163,1.284152,103.816987
BUKIT PANJANG HAWKER CENTRE AND MARKET  2 BUKIT PANJANG RING RD, S679947  ,679947,1.377621,103.7724719
BUKIT TIMAH MARKET AND FOOD CENTRE  51 UPPER BUKIT TIMAH RD, S588215  ,588215,1.339521,103.7762879
CHANGI VILLAGE HAWKER CENTRE  2 CHANGI VILLAGE RD, S500002  ,500002,17.3609611,78.48000909999999
CHENG SAN MARKE T & COOKED FOOD CENTRE  527 ANG MO KIO AVE 10, S560527  ,560527,1.3727609,103.8543059
CHINATOWN COMPLEX FOOD CENTRE  335 SMITH ST, S050335  ,050335  ,1.282573,103.843098
CHOMP CHOMP FOOD CENTRE  20 KENSINGTON PARK RD, S557269  ,557269,1.364548,103.8663739
CHONG BOON MARKET & FOOD CENTRE  453A ANG MO KIO AVE 10, S561453  ,561453,1.367925,103.856773
CHONG PANG MARKET  104 YISHUN RING RD, S760104  ,760104,1.4317629,103.828388
CHONG PANG MARKET & FOOD CENTRE  105 YISHUN RING RD, S760105  ,760105,1.431945,103.827988
CHUNG LIM WET MARKET  151A BISHAN ST 11, S571151  ,571151,1.345495,103.85517
